test,alpha,sigma,tau,rho,mu,category_n2,category_n6,category_n12,property_n2,property_n6,property_n12
1,0.5619807970753018,2.1817452105364565,1.3573692137651125,0.06723734335973859,-1.5521815761988054,0.6719677985664105,0.8467702513487169,0.9079278684689144,0.537024340609706,0.6085423011628548,0.6296991905090245
2,0.5619807970753018,2.1817452105364565,1.3573692137651125,0.06723734335973859,-1.5521815761988054,0.6767384203674762,0.8470898694086149,0.9087003908264116,0.5265824418187951,0.5801133302006345,0.6059484951554448
3,0.5619807970753018,2.1817452105364565,1.3573692137651125,0.06723734335973859,-1.5521815761988054,0.4330355594037651,0.4883113831055816,0.5267574242787595,0.3173898014904433,0.2587377370124858,0.24161834048508102
4,0.5619807970753018,2.1817452105364565,1.3573692137651125,0.06723734335973859,-1.5521815761988054,0.39845921942147805,0.4395022164882258,0.4691860827914466,0.2826333940128224,0.21974007905034793,0.18934106866790845
5,0.5619807970753018,2.1817452105364565,1.3573692137651125,0.06723734335973859,-1.5521815761988054,0.3755771449119529,0.3956530976877399,0.4104796811261765,0.25728765224382344,0.18856974473041427,0.149959645001852
6,0.5619807970753018,2.1817452105364565,1.3573692137651125,0.06723734335973859,-1.5521815761988054,0.3486444061437899,0.3582161616844961,0.36865690191830663,0.23688240992660178,0.16153236559831285,0.13627731659625048
7,0.5619807970753018,2.1817452105364565,1.3573692137651125,0.06723734335973859,-1.5521815761988054,0.3274655623827725,0.33532221659032224,0.3454763208293534,0.23167784482676423,0.15912994794957586,0.1220577135612891
8,0.5619807970753018,2.1817452105364565,1.3573692137651125,0.06723734335973859,-1.5521815761988054,0.3236457514736696,0.3174208532972071,0.3253624591193651,0.23315572040252278,0.14709954201813838,0.12160891261437425
9,0.5619807970753018,2.1817452105364565,1.3573692137651125,0.06723734335973859,-1.5521815761988054,0.3167086913912529,0.3110432041132057,0.3122450166719741,0.2425889094482954,0.16251624251682611,0.1255876421730637
10,0.5619807970753018,2.1817452105364565,1.3573692137651125,0.06723734335973859,-1.5521815761988054,0.3031163064016029,0.31664951431090727,0.3177088928641453,0.2315484044934892,0.17735007877979037,0.14783470540021815
