test,alpha,sigma,tau,rho,mu,category_n2,category_n6,category_n12,property_n2,property_n6,property_n12
1,0.48083462285270223,0.12606433546170592,4.359719378620421,0.21535246128818755,-1.0946667587610832,0.8618178543805508,0.9437410677044163,0.9699005407825735,0.7321619272682941,0.762138124129722,0.7843526554212046
2,0.48083462285270223,0.12606433546170592,4.359719378620421,0.21535246128818755,-1.0946667587610832,0.8608623228050011,0.9436173842754194,0.9702451256991363,0.6829312234419374,0.6751227976092649,0.6671773873531242
3,0.48083462285270223,0.12606433546170592,4.359719378620421,0.21535246128818755,-1.0946667587610832,0.6889467418023877,0.7588622561426245,0.8081969996335138,0.46788050394829417,0.37244796440585154,0.3253633958301782
4,0.48083462285270223,0.12606433546170592,4.359719378620421,0.21535246128818755,-1.0946667587610832,0.5334084508842492,0.5658171463920707,0.5866019530098975,0.3032470555657583,0.19966609067492266,0.14425944204801106
5,0.48083462285270223,0.12606433546170592,4.359719378620421,0.21535246128818755,-1.0946667587610832,0.4535391979089996,0.4590616633871044,0.46474139324883046,0.2290577381653434,0.12846983780794896,0.08450570743651993
6,0.48083462285270223,0.12606433546170592,4.359719378620421,0.21535246128818755,-1.0946667587610832,0.41916991789947244,0.4243120740790958,0.414845305227388,0.21458315216507154,0.11249485272652394,0.07335611802209906
7,0.48083462285270223,0.12606433546170592,4.359719378620421,0.21535246128818755,-1.0946667587610832,0.40996035434402706,0.41473122954889713,0.4040008235268076,0.21404386473518658,0.10848150311822692,0.06854571409355992
8,0.48083462285270223,0.12606433546170592,4.359719378620421,0.21535246128818755,-1.0946667587610832,0.41455867526959433,0.42157198005318736,0.4053818679674688,0.21971633462797696,0.1149627602717513,0.07063481774118094
9,0.48083462285270223,0.12606433546170592,4.359719378620421,0.21535246128818755,-1.0946667587610832,0.42340059253506246,0.41892284773037475,0.4027814651339748,0.23391590560905443,0.1365727296084577,0.08623457985186284
10,0.48083462285270223,0.12606433546170592,4.359719378620421,0.21535246128818755,-1.0946667587610832,0.42278257855261697,0.4068582278014576,0.39971139329973354,0.26656053199791085,0.18246877975173478,0.13257052023362922
