subj_id,gender,age,sampling,baserate,sampling,baserate,Old2,Old3,Old4,Old5,Old6,Old7,Old8,R1,R2,R3,R4,R5,R6,R7,turkcode
286,female,24,category,large,1,1,9,9,9,3,0,4,0,10,10,10,4,1,5,1,596238
287,male,37,category,large,1,1,9,9,4,4,1,0,1,10,10,5,5,2,1,2,318223
289,male,56,category,large,1,1,9,8,5,2,1,1,0,10,9,6,3,2,2,1,876869
292,male,35,category,large,1,1,6,4,2,6,0,0,0,7,5,3,7,1,1,1,786180
293,male,29,category,large,1,1,9,9,9,7,4,4,4,10,10,10,8,5,5,5,507559
294,male,38,category,large,1,1,9,9,4,2,3,3,3,10,10,5,3,4,4,4,258258
299,male,28,category,large,1,1,7,9,8,7,3,4,3,8,10,9,8,4,5,4,174570
302,female,47,category,large,1,1,8,8,8,6,7,4,6,9,9,9,7,8,5,7,897880
303,female,21,category,large,1,1,4,7,6,5,3,5,3,5,8,7,6,4,6,4,673490
304,female,59,category,large,1,1,9,9,9,9,9,8,9,10,10,10,10,10,9,10,414898
305,female,34,category,large,1,1,9,8,8,6,4,1,8,10,9,9,7,5,2,9,862211
306,female,27,category,large,1,1,8,8,7,6,6,3,4,9,9,8,7,7,4,5,922299
307,female,26,category,large,1,1,9,9,7,8,5,2,1,10,10,8,9,6,3,2,402601
309,male,34,category,large,1,1,1,2,3,3,4,4,7,2,3,4,4,5,5,8,832304
310,male,48,category,large,1,1,9,9,1,1,1,1,1,10,10,2,2,2,2,2,136490
317,female,63,category,large,1,1,8,8,7,7,7,7,7,9,9,8,8,8,8,8,805609
321,male,49,category,large,1,1,8,8,8,7,7,6,6,9,9,9,8,8,7,7,921678
323,female,32,category,large,1,1,9,9,9,9,4,0,0,10,10,10,10,5,1,1,575758
326,male,29,category,large,1,1,9,9,8,7,5,5,5,10,10,9,8,6,6,6,693878
328,female,30,category,large,1,1,7,8,6,5,8,8,2,8,9,7,6,9,9,3,613949
331,female,56,category,large,1,1,9,9,8,3,1,1,0,10,10,9,4,2,2,1,512476
335,female,33,category,large,1,1,9,9,9,4,4,3,3,10,10,10,5,5,4,4,464447
338,male,25,category,large,1,1,5,5,6,5,6,5,5,6,6,7,6,7,6,6,958150
342,male,40,category,large,1,1,9,9,4,4,4,4,3,10,10,5,5,5,5,4,851740
349,male,64,category,large,1,1,9,9,0,0,0,0,0,10,10,1,1,1,1,1,425990
353,female,34,category,large,1,1,9,9,7,5,4,4,4,10,10,8,6,5,5,5,486645
357,male,35,category,large,1,1,9,9,9,3,5,1,0,10,10,10,4,6,2,1,111800
359,female,36,category,large,1,1,9,8,2,2,2,2,0,10,9,3,3,3,3,1,871351
365,female,23,category,large,1,1,8,8,8,6,6,6,6,9,9,9,7,7,7,7,216134
369,male,28,category,large,1,1,5,4,7,7,1,1,2,6,5,8,8,2,2,3,845717
375,female,45,category,large,1,1,9,8,7,7,4,4,4,10,9,8,8,5,5,5,908197
379,female,30,category,large,1,1,7,6,3,2,2,0,0,8,7,4,3,3,1,1,178825
382,male,28,category,large,1,1,9,9,0,0,0,0,0,10,10,1,1,1,1,1,844823
384,male,30,category,large,1,1,9,8,8,7,9,0,0,10,9,9,8,10,1,1,168901
397,male,26,category,large,1,1,7,6,6,6,6,6,6,8,7,7,7,7,7,7,941743
405,female,34,category,large,1,1,9,9,9,9,9,9,9,10,10,10,10,10,10,10,606899
406,male,44,category,large,1,1,9,8,7,3,1,3,1,10,9,8,4,2,4,2,725532
411,male,41,category,large,1,1,9,7,6,7,6,7,5,10,8,7,8,7,8,6,926483
417,female,41,category,large,1,1,6,9,8,8,6,4,4,7,10,9,9,7,5,5,628780
418,male,49,category,large,1,1,8,8,7,5,5,3,1,9,9,8,6,6,4,2,537853
421,male,35,category,large,1,1,9,8,0,0,1,0,0,10,9,1,1,2,1,1,107211
3,male,33,category,small,1,2,9,9,9,9,9,9,0,10,10,10,10,10,10,1,632795
5,female,33,category,small,1,2,9,9,9,9,9,9,9,10,10,10,10,10,10,10,547373
14,female,34,category,small,1,2,9,2,6,3,3,0,0,10,3,7,4,4,1,1,173644
16,female,26,category,small,1,2,9,8,1,2,0,0,0,10,9,2,3,1,1,1,604294
18,male,26,category,small,1,2,2,8,8,8,6,7,9,3,9,9,9,7,8,10,833189
19,male,58,category,small,1,2,8,8,8,8,8,8,8,9,9,9,9,9,9,9,230892
21,male,33,category,small,1,2,9,9,8,7,6,7,7,10,10,9,8,7,8,8,295313
23,female,47,category,small,1,2,9,9,9,9,9,9,9,10,10,10,10,10,10,10,787543
26,male,26,category,small,1,2,2,4,5,5,7,7,7,3,5,6,6,8,8,8,827275
34,female,28,category,small,1,2,9,9,7,6,7,5,1,10,10,8,7,8,6,2,794080
35,male,25,category,small,1,2,9,9,9,9,7,1,2,10,10,10,10,8,2,3,844199
37,female,34,category,small,1,2,8,8,7,4,3,2,2,9,9,8,5,4,3,3,348216
41,male,62,category,small,1,2,6,7,7,5,5,5,5,7,8,8,6,6,6,6,176688
49,male,35,category,small,1,2,7,4,6,6,6,6,6,8,5,7,7,7,7,7,386346
55,male,37,category,small,1,2,9,8,1,0,0,0,0,10,9,2,1,1,1,1,558761
56,female,27,category,small,1,2,9,9,7,5,5,5,5,10,10,8,6,6,6,6,577184
59,female,30,category,small,1,2,9,8,7,5,5,5,5,10,9,8,6,6,6,6,830133
71,female,40,category,small,1,2,9,8,7,5,4,4,4,10,9,8,6,5,5,5,619469
74,female,27,category,small,1,2,9,9,5,3,0,0,0,10,10,6,4,1,1,1,510982
78,female,28,category,small,1,2,4,9,9,9,9,4,4,5,10,10,10,10,5,5,488221
90,male,42,category,small,1,2,8,8,8,8,8,8,8,9,9,9,9,9,9,9,499897
95,male,36,category,small,1,2,9,9,9,9,9,9,0,10,10,10,10,10,10,1,497994
100,male,40,category,small,1,2,8,8,8,8,5,8,5,9,9,9,9,6,9,6,769899
104,male,18,category,small,1,2,8,3,5,6,6,0,2,9,4,6,7,7,1,3,317107
106,female,34,category,small,1,2,9,9,9,9,9,0,9,10,10,10,10,10,1,10,299564
109,male,32,category,small,1,2,8,7,8,4,4,4,4,9,8,9,5,5,5,5,515325
110,male,52,category,small,1,2,9,8,6,5,4,4,4,10,9,7,6,5,5,5,896176
113,female,49,category,small,1,2,9,9,9,4,9,9,9,10,10,10,5,10,10,10,958510
120,female,31,category,small,1,2,9,9,7,0,0,0,0,10,10,8,1,1,1,1,854186
123,male,34,category,small,1,2,9,9,8,9,4,4,4,10,10,9,10,5,5,5,315585
126,male,33,category,small,1,2,8,7,8,7,6,4,2,9,8,9,8,7,5,3,242809
130,male,57,category,small,1,2,8,9,8,8,6,6,6,9,10,9,9,7,7,7,153655
134,male,69,category,small,1,2,7,7,2,0,2,2,0,8,8,3,1,3,3,1,921378
137,female,31,category,small,1,2,9,8,7,6,1,0,0,10,9,8,7,2,1,1,658416
140,female,30,category,small,1,2,9,9,9,0,0,0,0,10,10,10,1,1,1,1,229433
142,male,32,category,small,1,2,9,9,9,6,6,6,6,10,10,10,7,7,7,7,133795
143,female,34,category,small,1,2,7,7,6,4,6,4,4,8,8,7,5,7,5,5,474758
148,male,20,category,small,1,2,9,9,9,9,2,2,1,10,10,10,10,3,3,2,112587
149,female,22,category,small,1,2,9,9,9,9,9,9,9,10,10,10,10,10,10,10,127229
151,male,25,category,small,1,2,8,8,5,3,1,1,2,9,9,6,4,2,2,3,789244
152,female,49,category,small,1,2,9,9,8,4,3,3,3,10,10,9,5,4,4,4,549463
156,female,35,category,small,1,2,9,8,9,9,8,8,8,10,9,10,10,9,9,9,993788
160,male,26,category,small,1,2,9,9,9,9,9,9,9,10,10,10,10,10,10,10,482273
169,male,42,category,small,1,2,9,9,9,9,9,9,9,10,10,10,10,10,10,10,310653
171,female,37,category,small,1,2,9,9,9,8,9,2,2,10,10,10,9,10,3,3,997290
172,male,23,category,small,1,2,9,9,9,9,9,9,9,10,10,10,10,10,10,10,219242
183,female,28,category,small,1,2,7,7,6,4,4,4,4,8,8,7,5,5,5,5,915468
187,male,29,category,small,1,2,2,6,4,6,7,6,6,3,7,5,7,8,7,7,268026
188,female,26,category,small,1,2,9,9,9,9,4,4,4,10,10,10,10,5,5,5,827312
189,other,20,category,small,1,2,9,9,9,8,9,7,5,10,10,10,9,10,8,6,379509
191,female,46,category,small,1,2,9,9,9,9,0,0,0,10,10,10,10,1,1,1,984437
194,male,34,category,small,1,2,5,5,4,5,0,0,0,6,6,5,6,1,1,1,728220
197,female,47,category,small,1,2,9,9,9,8,2,1,1,10,10,10,9,3,2,2,993253
209,male,36,category,small,1,2,8,8,8,8,8,8,8,9,9,9,9,9,9,9,197951
210,male,34,category,small,1,2,9,9,9,9,4,4,4,10,10,10,10,5,5,5,553060
211,male,63,category,small,1,2,5,8,7,6,7,6,3,6,9,8,7,8,7,4,286490
213,female,22,category,small,1,2,9,7,8,7,2,1,0,10,8,9,8,3,2,1,263566
215,male,37,category,small,1,2,9,8,9,8,5,3,1,10,9,10,9,6,4,2,920093
225,male,59,category,small,1,2,3,4,3,4,7,6,7,4,5,4,5,8,7,8,749831
229,female,25,category,small,1,2,9,9,9,9,9,9,9,10,10,10,10,10,10,10,912256
232,male,35,category,small,1,2,6,6,6,5,0,0,0,7,7,7,6,1,1,1,722427
233,male,25,category,small,1,2,8,9,4,6,5,4,7,9,10,5,7,6,5,8,489381
244,male,25,category,small,1,2,8,8,8,7,7,7,7,9,9,9,8,8,8,8,261509
246,male,22,category,small,1,2,6,5,5,3,3,3,4,7,6,6,4,4,4,5,735280
255,male,27,category,small,1,2,8,8,8,7,6,6,5,9,9,9,8,7,7,6,362880
257,male,36,category,small,1,2,9,9,8,5,3,2,4,10,10,9,6,4,3,5,316226
260,male,21,category,small,1,2,9,9,9,9,6,6,6,10,10,10,10,7,7,7,523469
261,female,21,category,small,1,2,9,9,9,9,9,9,9,10,10,10,10,10,10,10,257967
264,female,32,category,small,1,2,8,8,7,3,1,1,1,9,9,8,4,2,2,2,384353
272,male,39,category,small,1,2,8,8,7,6,4,4,4,9,9,8,7,5,5,5,293202
275,male,25,category,small,1,2,7,6,6,6,6,6,6,8,7,7,7,7,7,7,185665
280,male,69,category,small,1,2,5,6,6,6,6,6,5,6,7,7,7,7,7,6,923336
291,male,24,category,small,1,2,8,8,8,7,3,8,8,9,9,9,8,4,9,9,926166
295,female,27,category,small,1,2,8,8,8,8,8,8,8,9,9,9,9,9,9,9,320414
311,male,24,category,small,1,2,0,0,5,9,8,9,9,1,1,6,10,9,10,10,120587
315,female,42,category,small,1,2,9,9,9,4,2,1,1,10,10,10,5,3,2,2,410256
